,0,1
0,"(4, 1, False)",1
1,"(4, 2, False)",1
2,"(4, 3, False)",0
3,"(4, 4, False)",0
4,"(4, 5, False)",1
5,"(4, 6, False)",1
6,"(4, 7, False)",1
7,"(4, 8, False)",1
8,"(4, 9, False)",1
9,"(4, 10, False)",1
10,"(5, 1, False)",1
11,"(5, 2, False)",1
12,"(5, 3, False)",0
13,"(5, 4, False)",1
14,"(5, 5, False)",0
15,"(5, 6, False)",1
16,"(5, 7, False)",1
17,"(5, 8, False)",1
18,"(5, 9, False)",0
19,"(5, 10, False)",1
20,"(6, 1, False)",1
21,"(6, 2, False)",1
22,"(6, 3, False)",1
23,"(6, 4, False)",1
24,"(6, 5, False)",1
25,"(6, 6, False)",0
26,"(6, 7, False)",1
27,"(6, 8, False)",1
28,"(6, 9, False)",1
29,"(6, 10, False)",1
30,"(7, 1, False)",1
31,"(7, 2, False)",0
32,"(7, 3, False)",1
33,"(7, 4, False)",1
34,"(7, 5, False)",0
35,"(7, 6, False)",1
36,"(7, 7, False)",1
37,"(7, 8, False)",1
38,"(7, 9, False)",1
39,"(7, 10, False)",1
40,"(8, 1, False)",1
41,"(8, 2, False)",1
42,"(8, 3, False)",1
43,"(8, 4, False)",1
44,"(8, 5, False)",1
45,"(8, 6, False)",1
46,"(8, 7, False)",0
47,"(8, 8, False)",1
48,"(8, 9, False)",1
49,"(8, 10, False)",1
50,"(9, 1, False)",1
51,"(9, 2, False)",0
52,"(9, 3, False)",1
53,"(9, 4, False)",1
54,"(9, 5, False)",1
55,"(9, 6, False)",1
56,"(9, 7, False)",1
57,"(9, 8, False)",1
58,"(9, 9, False)",0
59,"(9, 10, False)",1
60,"(10, 1, False)",1
61,"(10, 2, False)",0
62,"(10, 3, False)",1
63,"(10, 4, False)",1
64,"(10, 5, False)",1
65,"(10, 6, False)",1
66,"(10, 7, False)",1
67,"(10, 8, False)",1
68,"(10, 9, False)",1
69,"(10, 10, False)",1
70,"(11, 1, False)",1
71,"(11, 2, False)",1
72,"(11, 3, False)",0
73,"(11, 4, False)",0
74,"(11, 5, False)",0
75,"(11, 6, False)",1
76,"(11, 7, False)",1
77,"(11, 8, False)",1
78,"(11, 9, False)",1
79,"(11, 10, False)",1
80,"(12, 1, False)",0
81,"(12, 2, False)",1
82,"(12, 3, False)",0
83,"(12, 4, False)",0
84,"(12, 5, False)",0
85,"(12, 6, False)",1
86,"(12, 7, False)",1
87,"(12, 8, False)",1
88,"(12, 9, False)",1
89,"(12, 10, False)",1
90,"(13, 1, False)",0
91,"(13, 2, False)",0
92,"(13, 3, False)",1
93,"(13, 4, False)",0
94,"(13, 5, False)",1
95,"(13, 6, False)",1
96,"(13, 7, False)",1
97,"(13, 8, False)",1
98,"(13, 9, False)",0
99,"(13, 10, False)",1
100,"(14, 1, False)",1
101,"(14, 2, False)",0
102,"(14, 3, False)",1
103,"(14, 4, False)",0
104,"(14, 5, False)",0
105,"(14, 6, False)",0
106,"(14, 7, False)",0
107,"(14, 8, False)",0
108,"(14, 9, False)",0
109,"(14, 10, False)",0
110,"(15, 1, False)",0
111,"(15, 2, False)",0
112,"(15, 3, False)",0
113,"(15, 4, False)",1
114,"(15, 5, False)",0
115,"(15, 6, False)",0
116,"(15, 7, False)",1
117,"(15, 8, False)",0
118,"(15, 9, False)",0
119,"(15, 10, False)",1
120,"(16, 1, False)",1
121,"(16, 2, False)",0
122,"(16, 3, False)",0
123,"(16, 4, False)",0
124,"(16, 5, False)",0
125,"(16, 6, False)",0
126,"(16, 7, False)",0
127,"(16, 8, False)",0
128,"(16, 9, False)",0
129,"(16, 10, False)",0
130,"(17, 1, False)",0
131,"(17, 2, False)",0
132,"(17, 3, False)",0
133,"(17, 4, False)",0
134,"(17, 5, False)",0
135,"(17, 6, False)",0
136,"(17, 7, False)",0
137,"(17, 8, False)",0
138,"(17, 9, False)",0
139,"(17, 10, False)",0
140,"(18, 1, False)",0
141,"(18, 2, False)",0
142,"(18, 3, False)",0
143,"(18, 4, False)",0
144,"(18, 5, False)",0
145,"(18, 6, False)",0
146,"(18, 7, False)",0
147,"(18, 8, False)",0
148,"(18, 9, False)",0
149,"(18, 10, False)",0
150,"(19, 1, False)",0
151,"(19, 2, False)",0
152,"(19, 3, False)",0
153,"(19, 4, False)",0
154,"(19, 5, False)",0
155,"(19, 6, False)",0
156,"(19, 7, False)",0
157,"(19, 8, False)",0
158,"(19, 9, False)",0
159,"(19, 10, False)",0
160,"(20, 1, False)",0
161,"(20, 2, False)",0
162,"(20, 3, False)",0
163,"(20, 4, False)",0
164,"(20, 5, False)",0
165,"(20, 6, False)",0
166,"(20, 7, False)",0
167,"(20, 8, False)",0
168,"(20, 9, False)",0
169,"(20, 10, False)",0
170,"(21, 1, False)",0
171,"(21, 2, False)",0
172,"(21, 3, False)",0
173,"(21, 4, False)",0
174,"(21, 5, False)",0
175,"(21, 6, False)",0
176,"(21, 7, False)",0
177,"(21, 8, False)",0
178,"(21, 9, False)",0
179,"(21, 10, False)",0
