,0,1
0,"(4, 1, True)",0
1,"(4, 2, True)",0
2,"(4, 3, True)",0
3,"(4, 4, True)",0
4,"(4, 5, True)",0
5,"(4, 6, True)",0
6,"(4, 7, True)",0
7,"(4, 8, True)",0
8,"(4, 9, True)",0
9,"(4, 10, True)",0
10,"(5, 1, True)",0
11,"(5, 2, True)",0
12,"(5, 3, True)",0
13,"(5, 4, True)",0
14,"(5, 5, True)",0
15,"(5, 6, True)",0
16,"(5, 7, True)",0
17,"(5, 8, True)",0
18,"(5, 9, True)",0
19,"(5, 10, True)",0
20,"(6, 1, True)",0
21,"(6, 2, True)",0
22,"(6, 3, True)",0
23,"(6, 4, True)",0
24,"(6, 5, True)",0
25,"(6, 6, True)",0
26,"(6, 7, True)",0
27,"(6, 8, True)",0
28,"(6, 9, True)",0
29,"(6, 10, True)",0
30,"(7, 1, True)",0
31,"(7, 2, True)",0
32,"(7, 3, True)",0
33,"(7, 4, True)",0
34,"(7, 5, True)",0
35,"(7, 6, True)",0
36,"(7, 7, True)",0
37,"(7, 8, True)",0
38,"(7, 9, True)",0
39,"(7, 10, True)",0
40,"(8, 1, True)",0
41,"(8, 2, True)",0
42,"(8, 3, True)",0
43,"(8, 4, True)",0
44,"(8, 5, True)",0
45,"(8, 6, True)",0
46,"(8, 7, True)",0
47,"(8, 8, True)",0
48,"(8, 9, True)",0
49,"(8, 10, True)",0
50,"(9, 1, True)",0
51,"(9, 2, True)",0
52,"(9, 3, True)",0
53,"(9, 4, True)",0
54,"(9, 5, True)",0
55,"(9, 6, True)",0
56,"(9, 7, True)",0
57,"(9, 8, True)",0
58,"(9, 9, True)",0
59,"(9, 10, True)",0
60,"(10, 1, True)",0
61,"(10, 2, True)",0
62,"(10, 3, True)",0
63,"(10, 4, True)",0
64,"(10, 5, True)",0
65,"(10, 6, True)",0
66,"(10, 7, True)",0
67,"(10, 8, True)",0
68,"(10, 9, True)",0
69,"(10, 10, True)",0
70,"(11, 1, True)",0
71,"(11, 2, True)",0
72,"(11, 3, True)",0
73,"(11, 4, True)",0
74,"(11, 5, True)",0
75,"(11, 6, True)",0
76,"(11, 7, True)",0
77,"(11, 8, True)",0
78,"(11, 9, True)",0
79,"(11, 10, True)",0
80,"(12, 1, True)",1
81,"(12, 2, True)",1
82,"(12, 3, True)",1
83,"(12, 4, True)",1
84,"(12, 5, True)",1
85,"(12, 6, True)",1
86,"(12, 7, True)",1
87,"(12, 8, True)",1
88,"(12, 9, True)",0
89,"(12, 10, True)",1
90,"(13, 1, True)",1
91,"(13, 2, True)",0
92,"(13, 3, True)",1
93,"(13, 4, True)",0
94,"(13, 5, True)",1
95,"(13, 6, True)",1
96,"(13, 7, True)",1
97,"(13, 8, True)",1
98,"(13, 9, True)",1
99,"(13, 10, True)",1
100,"(14, 1, True)",1
101,"(14, 2, True)",1
102,"(14, 3, True)",0
103,"(14, 4, True)",1
104,"(14, 5, True)",1
105,"(14, 6, True)",1
106,"(14, 7, True)",1
107,"(14, 8, True)",1
108,"(14, 9, True)",1
109,"(14, 10, True)",1
110,"(15, 1, True)",1
111,"(15, 2, True)",1
112,"(15, 3, True)",1
113,"(15, 4, True)",1
114,"(15, 5, True)",1
115,"(15, 6, True)",1
116,"(15, 7, True)",1
117,"(15, 8, True)",1
118,"(15, 9, True)",1
119,"(15, 10, True)",1
120,"(16, 1, True)",1
121,"(16, 2, True)",1
122,"(16, 3, True)",1
123,"(16, 4, True)",0
124,"(16, 5, True)",0
125,"(16, 6, True)",1
126,"(16, 7, True)",1
127,"(16, 8, True)",1
128,"(16, 9, True)",1
129,"(16, 10, True)",1
130,"(17, 1, True)",1
131,"(17, 2, True)",1
132,"(17, 3, True)",1
133,"(17, 4, True)",1
134,"(17, 5, True)",0
135,"(17, 6, True)",0
136,"(17, 7, True)",1
137,"(17, 8, True)",0
138,"(17, 9, True)",1
139,"(17, 10, True)",0
140,"(18, 1, True)",1
141,"(18, 2, True)",0
142,"(18, 3, True)",0
143,"(18, 4, True)",1
144,"(18, 5, True)",0
145,"(18, 6, True)",0
146,"(18, 7, True)",0
147,"(18, 8, True)",0
148,"(18, 9, True)",1
149,"(18, 10, True)",1
150,"(19, 1, True)",0
151,"(19, 2, True)",0
152,"(19, 3, True)",0
153,"(19, 4, True)",0
154,"(19, 5, True)",0
155,"(19, 6, True)",0
156,"(19, 7, True)",0
157,"(19, 8, True)",0
158,"(19, 9, True)",0
159,"(19, 10, True)",0
160,"(20, 1, True)",1
161,"(20, 2, True)",0
162,"(20, 3, True)",0
163,"(20, 4, True)",0
164,"(20, 5, True)",0
165,"(20, 6, True)",0
166,"(20, 7, True)",0
167,"(20, 8, True)",1
168,"(20, 9, True)",1
169,"(20, 10, True)",0
170,"(21, 1, True)",0
171,"(21, 2, True)",0
172,"(21, 3, True)",0
173,"(21, 4, True)",0
174,"(21, 5, True)",0
175,"(21, 6, True)",0
176,"(21, 7, True)",0
177,"(21, 8, True)",0
178,"(21, 9, True)",0
179,"(21, 10, True)",0
